interview_id,brand_name,currently_using,has_used_before,awareness_level,purchase_frequency,satisfaction_score,mentioned_count,notes,brand_id
P1,LiponF,True,True,High,,,5,,1
P1,Sunlight,True,True,High,,,7,,4
P2,LiponF,True,True,High,,,4,,1
P2,Sunlight,True,True,High,,,5,,4
P3,LiponF,True,True,High,,,4,,1
P3,Sunlight,True,True,High,,,4,,4
P4,Sunlight,True,True,High,,,8,,4
P4,LiponF,False,True,Medium,,,1,,1
P5,LiponF,False,True,Medium,,,2,,1
P5,Sunlight,False,True,Medium,,,2,,4
P5,Organic,True,True,High,,,4,,3
P6,LiponF,True,True,High,,,5,,1
P6,Sunlight,True,True,High,,,4,,4
P7,LiponF,True,True,Medium,,,3,,1
P7,Sunlight,False,True,Medium,,,2,,4
P8,LiponF,True,True,High,,,4,,1
P8,Sunlight,True,True,High,,,5,,4
P9,Sunlight,True,True,High,,,4,,4
P9,LiponF,True,True,High,,,4,,1
P10,LiponF,True,True,Medium,,,3,,1
P10,Sunlight,True,True,Medium,,,3,,4
P11,LiponF,True,True,High,,,4,,1
P11,Sunlight,True,True,High,,,4,,4
P12,Sunlight,True,True,High,,,5,,4
P12,LiponF,False,True,Medium,,,2,,1
P13,Sunlight,True,True,High,,,4,,4
P13,Organic,False,True,Medium,,,1,,3
P13,LiponF,False,True,Medium,,,1,,1
P14,Sunlight,True,True,High,,,7,,4
P15,Sunlight,True,True,High,,,4,,4
P15,LiponF,False,True,Medium,,,1,,1
P16,Sunlight,True,True,High,,,4,,4
P17,LiponF,True,True,High,,,4,,1
P17,Sunlight,False,True,Medium,,,2,,4
P18,LiponF,True,True,Medium,,,3,,1
P18,Sunlight,False,True,Medium,,,2,,4
P19,Sunlight,True,True,Medium,,,3,,4
P19,Muji,False,True,Medium,,,2,,2
P19,LiponF,False,True,Medium,,,1,,1
P19,Organic,False,True,Medium,,,1,,3
P20,LiponF,True,True,High,,,4,,1
P20,Sunlight,True,True,Medium,,,3,,4
P21,Sunlight,True,True,High,,,6,,4
P21,LiponF,True,True,Medium,,,3,,1
P21,Organic,False,True,Medium,,,1,,3
P21,Muji,False,True,Medium,,,1,,2
P22,Sunlight,True,True,High,,,5,,4
P22,LiponF,False,True,Medium,,,1,,1
P23,Sunlight,True,True,High,,,6,,4
P23,LiponF,False,True,Medium,,,1,,1
P24,LiponF,False,True,Medium,,,2,,1
P24,Sunlight,False,True,Medium,,,2,,4
P25,Sunlight,True,True,High,,,5,,4
P25,LiponF,True,True,Medium,,,3,,1
P25,Organic,False,True,Medium,,,1,,3
P25,Muji,False,True,Medium,,,1,,2
