interview_id,theme_name,theme_category,sentiment,confidence,importance_level,quote_sample,turn_number,transcript_id,reasoning,analyst_notes,created_at,theme_id
P1,ราคา,Value,Neutral,0.75,Medium,ส่วนใหญ่ใช้ Sunlight ค่ะ บางทีก็เปลี่ยนเป็นแบรนด์ที่ลดราคาตามซูเปอร์ใกล้บ้าน อย่างไลปอนเอฟก็เคยลอง,2,2,ข้อความแสดงถึงการเลือกใช้ผลิตภัณฑ์ที่แตกต่างกันตามราคา โดยไม่มีการแสดงความพึงพอใจหรือไม่พอใจอย่างชัดเจน,,2025-12-12T18:58:21.813996,18
P1,ราคา,Value,Positive,0.8,Medium,ดูค่ะ จริงๆ ก็จะคุ้นชื่อแค่ไม่กี่แบรนด์ Sunlight กับ LiponF เป็นหลัก รู้สึกว่ามีมาตรฐานกว่าแบรนด์อื่นๆ,16,16,ผู้ตอบแสดงความรู้สึกเชิงบวกต่อแบรนด์ที่คุ้นเคยและมีมาตรฐานที่สูงกว่าแบรนด์อื่นๆ,,2025-12-12T18:58:21.813996,18
P1,คุ้มค่า / ประหยัด,Value,Positive,0.75,High,ส่วนใหญ่ใช้ Sunlight ค่ะ บางทีก็เปลี่ยนเป็นแบรนด์ที่ลดราคาตามซูเปอร์ใกล้บ้าน อย่างไลปอนเอฟก็เคยลอง,2,2,ผู้ตอบแสดงความพึงพอใจในการใช้ผลิตภัณฑ์ที่คุ้มค่าและมีการเปลี่ยนแบรนด์ตามราคาที่เหมาะสม ซึ่งแสดงถึงการมองในแง่ดีเกี่ยวกับการประหยัด,,2025-12-12T18:58:21.813996,5
P1,คุ้มค่า / ประหยัด,Value,Positive,0.75,High,Sunlight จะเห็นบ่อยกว่า เหมือนภาพลักษณ์ดูสดใส น่าใช้ ส่วน LiponF ไม่ค่อยเห็นโฆษณาเลย แต่รู้ว่าเป็นแบรนด์เก่าแก่,20,20,ข้อความแสดงถึงความชื่นชอบในภาพลักษณ์ของ Sunlight ที่ดูสดใสและน่าใช้ แม้จะมีการเปรียบเทียบกับ LiponF ที่ไม่ค่อยเห็นโฆษณา แต่ก็ไม่ได้แสดงความรู้สึกเชิงลบต่อแบรนด์นั้น,,2025-12-12T18:58:21.813996,5
P1,คุ้มค่า / ประหยัด,Value,Positive,0.9,High,ใช้ได้นาน ล้างออกง่าย และไม่ต้องใช้น้ำเยอะ ถ้าใช้แล้วไม่ต้องบีบเยอะถือว่าคุ้มค่ะ,24,24,ข้อความแสดงถึงความพึงพอใจในด้านความคุ้มค่าและการใช้งานที่สะดวกสบาย โดยเฉพาะการใช้น้ำที่น้อยและการล้างออกง่าย,,2025-12-12T18:58:21.813996,5
P1,คุ้มค่า / ประหยัด,Value,Positive,0.8,High,อยากให้ขวดแบบหัวปั๊มมีขายในไซซ์กลางๆ มากกว่านี้ เพราะพกง่ายดี ไม่ชอบต้องเทจากขวดใหญ่,28,28,ผู้ตอบแสดงความต้องการให้มีขวดหัวปั๊มในไซซ์กลางๆ ซึ่งแสดงถึงความพึงพอใจในความสะดวกในการพกพา และไม่ชอบการเทจากขวดใหญ่ แสดงถึงความต้องการที่ชัดเจน,,2025-12-12T18:58:21.813996,5
P1,กลิ่นหอม,Sensory,Mixed,0.75,High,Sunlight กลิ่นมันสดชื่นดีค่ะ รู้สึกสะอาด ส่วนไลปอนเอฟมันล้างมันออกง่ายจริง แต่กลิ่นแรงไปนิด,4,4,ผู้ตอบมีความรู้สึกเชิงบวกต่อกลิ่นสดชื่นและความสะอาด แต่มีความรู้สึกเชิงลบเกี่ยวกับกลิ่นที่แรงเกินไปของไลปอนเอฟ,,2025-12-12T18:58:21.813996,1
P1,กลิ่นหอม,Sensory,Positive,0.85,High,ใช่ค่ะ อยากได้กลิ่นหอมมากกว่า เพราะจานมันไม่ค่อยมันเท่าไหร่ อยากให้ล้างแล้วกลิ่นสะอาด เหมือนห้องครัวหอมขึ้น,8,8,ผู้ตอบแสดงความต้องการและความพึงพอใจต่อกลิ่นหอมและความสะอาดของห้องครัว,,2025-12-12T18:58:21.813996,1
P1,กลิ่นหอม,Sensory,Positive,0.85,High,เคยค่ะ บางสูตรของแบรนด์อื่นถ้าแรงไปจะรู้สึกมือแห้ง แต่ Sunlight สูตรมะนาวรู้สึกโอเค,12,12,ผู้ตอบแสดงความพึงพอใจต่อสูตรของ Sunlight ที่ไม่ทำให้มือแห้งเมื่อเปรียบเทียบกับแบรนด์อื่น,,2025-12-12T18:58:21.813996,1
P1,กลิ่นหอม,Sensory,Positive,0.8,High,กลิ่นก่อนเลยค่ะ แล้วก็ดูว่าขวดขนาดกลางหรือเล็ก พกง่าย เก็บง่าย เพราะพื้นที่ซิงค์เล็ก,14,14,ผู้ตอบแสดงความพึงพอใจต่อกลิ่นและความสะดวกในการพกพาและเก็บขวด,,2025-12-12T18:58:21.813996,1
