transcript_id,interview_id,turn_number,speaker,text,timestamp_seconds,language,created_at
1,P1,1,Interviewer,ปกติคุณใช้แบรนด์น้ำยาล้างจานอะไรอยู่คะตอนนี้?,,th,2025-12-12T18:56:17.715465
2,P1,2,Respondent,ส่วนใหญ่ใช้ Sunlight ค่ะ บางทีก็เปลี่ยนเป็นแบรนด์ที่ลดราคาตามซูเปอร์ใกล้บ้าน อย่างไลปอนเอฟก็เคยลอง,,th,2025-12-12T18:56:17.715465
3,P1,3,Interviewer,แล้วรู้สึกแตกต่างยังไงบ้างเวลาลองใช้แต่ละแบรนด์?,,th,2025-12-12T18:56:27.991024
4,P1,4,Respondent,Sunlight กลิ่นมันสดชื่นดีค่ะ รู้สึกสะอาด ส่วนไลปอนเอฟมันล้างมันออกง่ายจริง แต่กลิ่นแรงไปนิด,,th,2025-12-12T18:56:27.991024
5,P1,5,Interviewer,คุณล้างจานบ่อยไหมคะในแต่ละวัน?,,th,2025-12-12T18:56:37.521483
6,P1,6,Respondent,ไม่บ่อยค่ะ เพราะอยู่คนเดียว ทำกับข้าวสัปดาห์ละ 2-3 ครั้งเอง ส่วนใหญ่เป็นจานแก้วกับช้อนส้อม ไม่ได้เลอะมาก,,th,2025-12-12T18:56:37.521483
7,P1,7,Interviewer,แสดงว่าเรื่อง “ขจัดคราบมัน” อาจไม่ใช่สิ่งที่ต้องการที่สุด?,,th,2025-12-12T18:56:39.112907
8,P1,8,Respondent,ใช่ค่ะ อยากได้กลิ่นหอมมากกว่า เพราะจานมันไม่ค่อยมันเท่าไหร่ อยากให้ล้างแล้วกลิ่นสะอาด เหมือนห้องครัวหอมขึ้น,,th,2025-12-12T18:56:39.112907
9,P1,9,Interviewer,แล้วเวลาล้างคุณให้ความสำคัญกับเรื่องอะไรบ้างคะ?,,th,2025-12-12T18:56:46.259725
10,P1,10,Respondent,อยากให้ล้างง่าย ไม่ต้องใช้น้ำเยอะ เพราะอยู่คอนโด น้ำมันไม่แรงมาก แล้วก็ไม่ชอบฟองเยอะ เพราะจะล้างยาก,,th,2025-12-12T18:56:46.259725
11,P1,11,Interviewer,แล้วเคยรู้สึกว่ามือแห้งหรือแสบหลังล้างไหมคะ?,,th,2025-12-12T18:56:55.409743
12,P1,12,Respondent,เคยค่ะ บางสูตรของแบรนด์อื่นถ้าแรงไปจะรู้สึกมือแห้ง แต่ Sunlight สูตรมะนาวรู้สึกโอเค,,th,2025-12-12T18:56:55.409743
13,P1,13,Interviewer,เวลาซื้อเลือกยังไงคะ ดูจากอะไรเป็นหลัก?,,th,2025-12-12T18:57:02.605941
14,P1,14,Respondent,กลิ่นก่อนเลยค่ะ แล้วก็ดูว่าขวดขนาดกลางหรือเล็ก พกง่าย เก็บง่าย เพราะพื้นที่ซิงค์เล็ก,,th,2025-12-12T18:57:02.605941
15,P1,15,Interviewer,แล้วดูยี่ห้อด้วยไหมคะ?,,th,2025-12-12T18:57:08.702838
16,P1,16,Respondent,ดูค่ะ จริงๆ ก็จะคุ้นชื่อแค่ไม่กี่แบรนด์ Sunlight กับ LiponF เป็นหลัก รู้สึกว่ามีมาตรฐานกว่าแบรนด์อื่นๆ,,th,2025-12-12T18:57:08.702838
17,P1,17,Interviewer,แล้วถ้ามีแบรนด์ใหม่ที่บอกว่าเป็นสูตรธรรมชาติ ไม่มีสารตกค้าง คุณสนใจไหม?,,th,2025-12-12T18:57:14.447470
18,P1,18,Respondent,สนใจนะคะ แต่ต้องกลิ่นไม่เหม็นเขียว แล้วต้องไม่รู้สึกว่าล้างไม่สะอาด บางสูตรธรรมชาติมันลื่นๆ เหมือนล้างไม่หมด,,th,2025-12-12T18:57:14.447470
19,P1,19,Interviewer,แล้วตอนเห็นโฆษณา Sunlight หรือ LiponF คุณจำอะไรได้บ้างไหมคะ?,,th,2025-12-12T18:57:23.296299
20,P1,20,Respondent,Sunlight จะเห็นบ่อยกว่า เหมือนภาพลักษณ์ดูสดใส น่าใช้ ส่วน LiponF ไม่ค่อยเห็นโฆษณาเลย แต่รู้ว่าเป็นแบรนด์เก่าแก่,,th,2025-12-12T18:57:23.296299
21,P1,21,Interviewer,แล้วภาพในใจของคุณต่อแต่ละแบรนด์เป็นยังไง?,,th,2025-12-12T18:57:31.787709
22,P1,22,Respondent,Sunlight = หอม สดชื่น ใช้ง่าย LiponF = เข้มข้น ล้างคราบดี แต่ดูบ้านๆ นิดนึง,,th,2025-12-12T18:57:31.787709
23,P1,23,Interviewer,แล้วเวลาคิดถึงคำว่า “คุ้มค่า” สำหรับคุณคืออะไรคะ?,,th,2025-12-12T18:57:41.493941
24,P1,24,Respondent,ใช้ได้นาน ล้างออกง่าย และไม่ต้องใช้น้ำเยอะ ถ้าใช้แล้วไม่ต้องบีบเยอะถือว่าคุ้มค่ะ,,th,2025-12-12T18:57:41.493941
25,P1,25,Interviewer,ถ้าราคาทั้งสองแบรนด์เท่ากัน คุณจะเลือกแบรนด์ไหน?,,th,2025-12-12T18:57:47.710918
26,P1,26,Respondent,Sunlight ค่ะ เพราะชอบกลิ่นและล้างออกง่ายกว่า,,th,2025-12-12T18:57:47.710918
27,P1,27,Interviewer,แล้วมีอะไรที่อยากให้แบรนด์ปรับปรุงไหมคะ?,,th,2025-12-12T18:57:52.475674
28,P1,28,Respondent,อยากให้ขวดแบบหัวปั๊มมีขายในไซซ์กลางๆ มากกว่านี้ เพราะพกง่ายดี ไม่ชอบต้องเทจากขวดใหญ่,,th,2025-12-12T18:57:52.475674
29,P1,29,Interviewer,ถ้าคุณต้องออกแบบน้ำยาล้างจานในอุดมคติของตัวเอง จะเป็นยังไงคะ?,,th,2025-12-12T18:57:59.842887
30,P1,30,Respondent,ล้างง่าย กลิ่นหอมแบบธรรมชาติ มือไม่แห้ง แล้วก็มีดีไซน์ขวดที่เรียบๆ สวยวางในห้องครัวแล้วดูสะอาดตา,,th,2025-12-12T18:57:59.842887
31,P1,31,Interviewer,แล้วถ้ามีแบรนด์ที่ล้างคราบดีมาก แต่กลิ่นไม่ชอบ คุณจะยอมใช้ไหม?,,th,2025-12-12T18:58:11.874621
32,P1,32,Respondent,ไม่ค่ะ กลิ่นสำคัญมาก ถ้าไม่ชอบจะรู้สึกเหม็นไปทั้งห้องเลย,,th,2025-12-12T18:58:11.874621
33,P1,33,Interviewer,ขอบคุณมากเลยค่ะสำหรับการแชร์ประสบการณ์ มีอะไรอยากฝากถึงแบรนด์ไหมคะ?,,th,2025-12-12T18:58:15.648973
34,P1,34,Respondent,อยากให้เน้นเรื่องกลิ่นและแพ็กเกจจิ้งให้เหมาะกับคนอยู่คอนโด เพราะกลุ่มนี้มีเยอะขึ้นค่ะ,,th,2025-12-12T18:58:15.648973
35,P2,1,Interviewer,ปกติที่บ้านใช้ยี่ห้อน้ำยาล้างจานอะไรอยู่คะ?,,th,2025-12-12T18:58:21.821649
36,P2,2,Respondent,ใช้ LiponF ค่ะ แล้วบางทีก็สลับกับ Sunlight สูตรธรรมชาติ เพราะลูกยังเล็ก เลยกลัวพวกสารเคมีแรงๆ,,th,2025-12-12T18:58:21.821649
37,P2,3,Interviewer,ทำไมถึงเลือกสองแบรนด์นี้คะ?,,th,2025-12-12T18:58:28.300565
