interview_id,theme_name,sentiment,importance_level,quote_sample,turn_number,analyst_notes,created_at,theme_id
P1,ราคา,Neutral,Medium,ส่วนใหญ่ใช้ Sunlight ค่ะ บางทีก็เปลี่ยนเป็นแบรนด์ที่ลดราคาตามซูเปอร์ใกล้บ้าน อย่างไลปอนเอฟก็เคยลอง,2,,2025-12-12T18:50:42.173919,7
P1,ขจัดคราบมัน,Mixed,Medium,Sunlight กลิ่นมันสดชื่นดีค่ะ รู้สึกสะอาด ส่วนไลปอนเอฟมันล้างมันออกง่ายจริง แต่กลิ่นแรงไปนิด,4,,2025-12-12T18:50:42.173919,2
P1,กลิ่นหอม,Mixed,Medium,ใช่ค่ะ อยากได้กลิ่นหอมมากกว่า เพราะจานมันไม่ค่อยมันเท่าไหร่ อยากให้ล้างแล้วกลิ่นสะอาด เหมือนห้องครัวหอมขึ้น,8,,2025-12-12T18:50:42.173919,1
P1,กลิ่นหอม,Positive,Medium,ล้างง่าย กลิ่นหอมแบบธรรมชาติ มือไม่แห้ง แล้วก็มีดีไซน์ขวดที่เรียบๆ สวยวางในห้องครัวแล้วดูสะอาดตา,30,,2025-12-12T18:50:42.173919,1
P1,ล้างออกง่าย,Mixed,High,อยากให้ล้างง่าย ไม่ต้องใช้น้ำเยอะ เพราะอยู่คอนโด น้ำมันไม่แรงมาก แล้วก็ไม่ชอบฟองเยอะ เพราะจะล้างยาก,10,,2025-12-12T18:50:42.173919,8
P1,ล้างออกง่าย,Neutral,High,ใช้ได้นาน ล้างออกง่าย และไม่ต้องใช้น้ำเยอะ ถ้าใช้แล้วไม่ต้องบีบเยอะถือว่าคุ้มค่ะ,24,,2025-12-12T18:50:42.173919,8
P1,ล้างออกง่าย,Positive,High,Sunlight ค่ะ เพราะชอบกลิ่นและล้างออกง่ายกว่า,26,,2025-12-12T18:50:42.173919,8
P1,ล้างออกง่าย,Positive,High,ล้างง่าย กลิ่นหอมแบบธรรมชาติ มือไม่แห้ง แล้วก็มีดีไซน์ขวดที่เรียบๆ สวยวางในห้องครัวแล้วดูสะอาดตา,30,,2025-12-12T18:50:42.173919,8
P1,ฟอง,Mixed,Medium,อยากให้ล้างง่าย ไม่ต้องใช้น้ำเยอะ เพราะอยู่คอนโด น้ำมันไม่แรงมาก แล้วก็ไม่ชอบฟองเยอะ เพราะจะล้างยาก,10,,2025-12-12T18:50:42.173919,5
P1,มือไม่แห้ง,Negative,Medium,เคยค่ะ บางสูตรของแบรนด์อื่นถ้าแรงไปจะรู้สึกมือแห้ง แต่ Sunlight สูตรมะนาวรู้สึกโอเค,12,,2025-12-12T18:50:42.173919,6
P1,มือไม่แห้ง,Positive,Medium,ล้างง่าย กลิ่นหอมแบบธรรมชาติ มือไม่แห้ง แล้วก็มีดีไซน์ขวดที่เรียบๆ สวยวางในห้องครัวแล้วดูสะอาดตา,30,,2025-12-12T18:50:42.173919,6
P1,แพ็กเกจ,Neutral,High,กลิ่นก่อนเลยค่ะ แล้วก็ดูว่าขวดขนาดกลางหรือเล็ก พกง่าย เก็บง่าย เพราะพื้นที่ซิงค์เล็ก,14,,2025-12-12T18:50:42.173919,9
P1,แพ็กเกจ,Mixed,High,อยากให้ขวดแบบหัวปั๊มมีขายในไซซ์กลางๆ มากกว่านี้ เพราะพกง่ายดี ไม่ชอบต้องเทจากขวดใหญ่,28,,2025-12-12T18:50:42.173919,9
P1,แพ็กเกจ,Positive,High,ล้างง่าย กลิ่นหอมแบบธรรมชาติ มือไม่แห้ง แล้วก็มีดีไซน์ขวดที่เรียบๆ สวยวางในห้องครัวแล้วดูสะอาดตา,30,,2025-12-12T18:50:42.173919,9
P1,แพ็กเกจ,Negative,High,อยากให้เน้นเรื่องกลิ่นและแพ็กเกจจิ้งให้เหมาะกับคนอยู่คอนโด เพราะกลุ่มนี้มีเยอะขึ้นค่ะ,34,,2025-12-12T18:50:42.173919,9
P1,คุ้มค่า,Neutral,Medium,ใช้ได้นาน ล้างออกง่าย และไม่ต้องใช้น้ำเยอะ ถ้าใช้แล้วไม่ต้องบีบเยอะถือว่าคุ้มค่ะ,24,,2025-12-12T18:50:42.173919,3
P2,ขจัดคราบมัน,Positive,Medium,ใช้มาตั้งแต่สมัยแม่เลยค่ะ LiponF รู้สึกว่าล้างมันออกดี ส่วน Sunlight ก็มีสูตรที่เขียนว่า gentle เหมือนปลอดภัยกว่า,4,,2025-12-12T18:50:42.174478,2
P2,ปลอดภัย,Positive,High,ใช้มาตั้งแต่สมัยแม่เลยค่ะ LiponF รู้สึกว่าล้างมันออกดี ส่วน Sunlight ก็มีสูตรที่เขียนว่า gentle เหมือนปลอดภัยกว่า,4,,2025-12-12T18:50:42.174478,4
P2,ปลอดภัย,Mixed,High,เคยค่ะ แต่บางตัวล้างแล้วจานยังลื่น หรือกลิ่นติดแรงมาก ไม่มั่นใจเลยว่าจะปลอดภัยกับลูกหรือเปล่า,8,,2025-12-12T18:50:42.174478,4
P2,ปลอดภัย,Neutral,High,ดูคำว่า “อ่อนโยน” หรือ “ไม่มีสารตกค้าง” ก่อนเลย แล้วถึงจะดูราคา,10,,2025-12-12T18:50:42.174478,4
P2,ปลอดภัย,Positive,High,ขอแบบอ่อนโยนดีกว่าค่ะ เพราะกลัวเรื่องสารตกค้าง ถึงจะต้องล้างสองรอบก็ไม่เป็นไร,12,,2025-12-12T18:50:42.174478,4
P2,ปลอดภัย,Negative,High,มีค่ะ กลิ่นแรงเกินจะรู้สึกว่าไม่ปลอดภัย โดยเฉพาะเวลาล้างขวดนมเด็ก,16,,2025-12-12T18:50:42.174478,4
P2,ปลอดภัย,Negative,High,แนะนำ Sunlight สูตรธรรมชาติค่ะ เพราะล้างออกง่าย กลิ่นไม่แรง รู้สึกปลอดภัยกว่า,26,,2025-12-12T18:50:42.174478,4
P2,มือไม่แห้ง,Mixed,Medium,มือไม่แห้งกับกลิ่นค่ะ เพราะล้างทุกวัน วันละหลายรอบ แล้วก็ไม่อยากให้มีกลิ่นติดจาน ลูกชอบเอามือเข้าปาก,6,,2025-12-12T18:50:42.174478,6
P2,มือไม่แห้ง,Mixed,Medium,LiponF ให้ 8 เพราะล้างดีแต่กลิ่นแรงไปนิด ส่วน Sunlight ให้ 9 เพราะกลิ่นหอม ล้างง่าย มือไม่แห้ง,24,,2025-12-12T18:50:42.174478,6
P2,ราคา,Neutral,Medium,ดูคำว่า “อ่อนโยน” หรือ “ไม่มีสารตกค้าง” ก่อนเลย แล้วถึงจะดูราคา,10,,2025-12-12T18:50:42.174478,7
P2,แพ็กเกจ,Negative,Medium,มีค่ะ กลิ่นแรงเกินจะรู้สึกว่าไม่ปลอดภัย โดยเฉพาะเวลาล้างขวดนมเด็ก,16,,2025-12-12T18:50:42.174478,9
P2,แพ็กเกจ,Positive,Medium,สนใจมากเลยค่ะ เพราะจะได้ไม่ต้องมีสองขวด ใช้ขวดเดียวล้างได้ทั้งของผู้ใหญ่กับของลูก,20,,2025-12-12T18:50:42.174478,9
P2,ฟอง,Mixed,Medium,ถ้ามีฟองนิดๆ จะรู้สึกว่าสะอาด แต่ถ้าฟองเยอะเกินไปจะไม่ชอบ เพราะต้องล้างน้ำนาน,18,,2025-12-12T18:50:42.174478,5
P2,กลิ่นหอม,Mixed,Medium,LiponF ให้ 8 เพราะล้างดีแต่กลิ่นแรงไปนิด ส่วน Sunlight ให้ 9 เพราะกลิ่นหอม ล้างง่าย มือไม่แห้ง,24,,2025-12-12T18:50:42.174478,1
P2,ล้างออกง่าย,Mixed,Medium,LiponF ให้ 8 เพราะล้างดีแต่กลิ่นแรงไปนิด ส่วน Sunlight ให้ 9 เพราะกลิ่นหอม ล้างง่าย มือไม่แห้ง,24,,2025-12-12T18:50:42.174478,8
P2,ล้างออกง่าย,Negative,Medium,แนะนำ Sunlight สูตรธรรมชาติค่ะ เพราะล้างออกง่าย กลิ่นไม่แรง รู้สึกปลอดภัยกว่า,26,,2025-12-12T18:50:42.174478,8
P3,ขจัดคราบมัน,Neutral,High,ผมดูเรื่อง “คุ้มค่า” ก่อนเลยครับ หมายถึงใช้แล้วล้างได้หลายรอบ ไม่ต้องบีบเยอะ แล้วก็ต้องล้างคราบมันได้จริง,6,,2025-12-12T18:50:42.175493,2
P3,ขจัดคราบมัน,Positive,High,ต่างครับ Sunlight กลิ่นหอมกว่า ล้างออกง่ายกว่า แต่ LiponF รู้สึกว่าล้างมันออกสะอาดกว่า โดยเฉพาะตอนล้างกระทะ,8,,2025-12-12T18:50:42.175493,2
P3,ขจัดคราบมัน,Positive,High,ผมเลือกแบบล้างมันดีดีกว่า เพราะสุดท้ายถ้ามันยังมันอยู่ต้องล้างใหม่อีกรอบ เสียเวลา,10,,2025-12-12T18:50:42.175493,2
