interview_id,segment_id,topic,interview_date,interview_duration_minutes,location,interviewer_name,status,notes,created_at
P1,1,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.171822
P2,2,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.174478
P3,3,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.174478
P4,4,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.175493
P5,5,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.176496
P6,6,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.176496
P7,7,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.177493
P8,8,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.178504
P9,9,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.178504
P10,10,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.179502
P11,11,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.179502
P12,12,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.179502
P13,13,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.181084
P14,14,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.181588
P15,15,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.182647
P16,16,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.183160
P17,17,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.183670
P18,18,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.183670
P19,19,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.184677
P20,20,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.185675
P21,21,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.185675
P22,22,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.186675
P23,23,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.186675
P24,24,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.186675
P25,25,Perception and Purchase Decision Toward Dishwashing Liquid Brands,2025-12-12,,,,completed,,2025-12-12T18:50:42.188179
